55,63.579,174.08,34.577,84.335,-0.68069
56,54.713,175.38,37.762,92.102,-0.10256
57,43.5,174,41,100,-0.26801
58,35.5,174,41,100,-0.24169
59,19.5,174,41,100,0.4724
60,3.5,182,41,100,0.29627
333,562.96,145.6,26.43,65.752,-0.36549
334,585.78,147.49,29.222,71.401,-0.67175
369,608.89,179.41,24.322,59.321,1.0143
370,608.5,173.65,28.991,70.709,1.2
371,608.5,173.65,28.991,70.709,0.67798
372,608.5,173.65,28.991,70.709,0.72932
373,608.5,173.65,28.991,70.709,0.7526
373,454.26,180.7,17.689,43.811,0.15791
374,608.89,179.41,24.322,59.321,0.28724
374,458.26,185.17,16.026,39.482,0.16439
375,608.5,173.65,28.991,70.709,0.2059
375,457.75,179,20.5,50,-0.50456
376,611.29,179.35,26.452,64.516,0.75303
376,462.26,180.72,16.744,42.11,0.58574
377,608.5,173.65,28.991,70.709,0.032595
377,465.62,181.68,16.822,41.294,-0.15735
378,608.5,173.65,28.991,70.709,0.1232
379,608.5,173.65,28.991,70.709,0.3737
380,608.5,173.65,28.991,70.709,0.69769
381,608.5,173.65,28.991,70.709,0.18063
381,473.75,183,20.5,50,-0.59772
382,608.5,173.65,28.991,70.709,0.73695
382,473.75,183,20.5,50,-0.071452
383,608.5,173.65,28.991,70.709,0.48918
383,473.75,183,20.5,50,-0.73152
384,608.5,173.65,28.991,70.709,0.45746
384,476.46,177.82,22.334,54.474,-0.42816
385,608.5,173.65,28.991,70.709,0.30747
385,477.02,181.51,20.326,51.028,-0.73841
386,608.5,173.65,28.991,70.709,0.46085
386,476.46,177.82,22.334,54.474,-0.59397
387,611.29,179.35,26.452,64.516,0.38345
388,611.29,179.35,26.452,64.516,0.72485
388,476.46,177.82,22.334,54.474,-0.39833
388,612.49,180.86,23.771,58.214,0.26384
389,611.29,179.35,26.452,64.516,0.41181
389,480.9,184.94,19.219,47.116,-0.68016
390,608.5,173.65,28.991,70.709,0.55295
391,608.5,173.65,28.991,70.709,0.33342
392,611.29,179.35,26.452,64.516,0.74329
393,611.29,179.35,26.452,64.516,0.59972
393,485.5,178.88,21.075,51.702,0.035055
394,611.29,179.35,26.452,64.516,0.80345
394,485.75,179,20.5,50,-0.6511
395,611.29,179.35,26.452,64.516,0.62316
395,490.26,180.13,17.566,43.791,0.49791
396,611.29,179.35,26.452,64.516,0.45033
397,611.29,179.35,26.452,64.516,0.031344
398,613.63,184.16,24.322,59.321,0.30082
398,494.26,181.69,17.607,43.872,0.41412
399,613.63,188.91,24.322,59.321,0.66591
399,498.26,184.99,17.23,43.375,0.80027
400,611.29,189.68,26.452,64.516,0.64782
400,498.23,182.18,22.334,54.474,-0.36504
401,501.75,191,20.5,50,0.70685
401,613.63,193.66,24.322,59.321,0.5764
401,373.36,144.33,23.091,56.746,-0.31077
402,501.75,191,20.5,50,0.83909
402,613.63,198.42,24.322,59.321,-0.43339
403,505.75,191,20.5,50,0.5143
403,615.78,208.36,22.334,54.474,0.14167
404,505.75,199,20.5,50,0.075808
405,509.75,199,20.5,50,-0.43634
406,509.75,203,20.5,50,-0.60195
407,509.75,203,20.5,50,-0.52177
408,513.75,207,20.5,50,-0.021518
409,521.75,203,20.5,50,-0.51138
409,518.58,213.39,17.245,42.201,0.99131
410,521.75,211,20.5,50,-0.049741
411,521.75,211,20.5,50,0.96267
412,525.75,215,20.5,50,0.53669
413,529.75,215,20.5,50,-0.61928
414,533.75,211,20.5,50,0.87618
415,537.75,211,20.5,50,0.87464
416,541.77,204,22.334,54.474,1.0141
417,545.75,207,20.5,50,0.1572
418,546.12,204,22.334,54.474,0.66694
419,552,198.42,24.322,59.321,0.52151
420,561.75,199,20.5,50,0.41065
421,565.75,199,20.5,50,0.010169
422,569.75,199,20.5,50,0.518
423,577.16,198.88,19.247,47.68,-0.53917
424,576.6,190.91,22.334,54.474,-0.21224
425,585.48,189.68,26.452,64.516,-0.16967
426,594.67,188.91,24.322,59.321,-0.17586
427,605.75,187,20.5,50,0.41262
428,611.29,184.52,26.452,64.516,-0.19631
450,594.26,196.86,16.344,40.693,-0.071671
478,78.269,186.39,16.854,41.26,-0.73988
511,409.68,185.34,16.203,39.723,-0.37876
521,420.52,173.45,34.398,87.895,-0.63085
525,432.99,174.99,21.859,53.656,0.75869
526,432.37,173.32,23.24,56.972,0.027592
527,434.09,184.82,17.678,43.203,-0.47632
528,426.6,172.28,25.577,62.799,-0.61813
529,427.26,168,28.991,70.709,-0.54082
530,438.67,170.19,27.584,67.671,0.13931
531,440.84,160.56,34.577,84.335,-0.37674
532,454.32,167.32,34.577,84.335,-0.23028
533,459.5,158,41,100,0.1235
534,467.5,158,41,100,-0.085123
535,475.5,158,41,100,0.23217
536,483.5,158,41,100,-0.091167
537,499.5,158,41,100,0.12077
538,510.45,160.8,49.058,119.65,0.19791
539,520,160.8,49.058,119.65,-0.49177
540,530.71,157.14,58.571,142.86,-0.45986
541,553.57,157.14,58.571,142.86,-0.023571
542,565.83,143.33,68.333,166.67,0.37259
542,393.68,180,18.165,44.609,0.069458
544,398.32,181.01,18.69,45.813,0.28365
557,452.6,185.59,37.821,92.624,-0.12477
560,522.32,126.88,36.181,88.91,-0.31999
566,86.921,184.44,17.723,43.382,-0.48712
579,614.16,179.29,28.991,70.709,-0.57122
596,600.01,201.21,32.333,80.768,-0.52428
601,523.55,189.68,26.452,64.516,-0.63265
603,559.68,194.84,26.452,64.516,-0.63989
605,602.53,187.61,34.577,84.335,-0.34268
610,608.94,171.17,30.125,73.769,-0.0065002
659,59.691,185.94,22.138,55.094,-0.68308
672,46.003,168.56,18.398,45.517,-0.45183
678,17.75,171,20.5,50,-0.062494
678,26.262,177.48,17.077,42.55,-0.32777
679,14.966,169.09,22.334,54.474,0.16484
680,13.75,171,20.5,50,-0.56432
685,5.75,179,20.5,50,-0.7227
687,5.75,179,20.5,50,-0.62473
688,6.2622,189.96,16.003,39.739,-0.011671
689,6.2622,190.63,15.459,37.958,0.35844
689,1.662,193.47,14.657,35.891,-0.60711
697,6.2622,192.33,15.785,40.046,0.34371
698,5.75,183,20.5,50,-0.29912
