54,70.316,174.08,34.577,84.335,2.8394
55,63.579,174.08,34.577,84.335,3.0753
56,54.713,175.38,37.762,92.102,3.4975
57,43.5,174,41,100,3.3767
58,35.5,174,41,100,3.3959
59,19.5,174,41,100,3.9173
60,3.5,182,41,100,3.7887
369,608.89,179.41,24.322,59.321,4.3129
370,608.5,173.65,28.991,70.709,4.4485
371,608.5,173.65,28.991,70.709,4.0674
372,608.5,173.65,28.991,70.709,4.1048
373,608.5,173.65,28.991,70.709,4.1218
374,608.89,179.41,24.322,59.321,3.7821
375,608.5,173.65,28.991,70.709,3.7227
376,611.29,179.35,26.452,64.516,4.1222
377,608.5,173.65,28.991,70.709,3.5961
378,608.5,173.65,28.991,70.709,3.6623
379,608.5,173.65,28.991,70.709,3.8452
380,608.5,173.65,28.991,70.709,4.0818
381,608.5,173.65,28.991,70.709,3.7042
382,608.5,173.65,28.991,70.709,4.1104
383,608.5,173.65,28.991,70.709,3.9295
384,608.5,173.65,28.991,70.709,3.9063
385,608.5,173.65,28.991,70.709,3.7968
386,608.5,173.65,28.991,70.709,3.9088
387,611.29,179.35,26.452,64.516,3.8523
388,611.29,179.35,26.452,64.516,4.1016
389,611.29,179.35,26.452,64.516,3.873
390,608.5,173.65,28.991,70.709,3.9761
391,608.5,173.65,28.991,70.709,3.8158
392,611.29,179.35,26.452,64.516,4.115
393,611.29,179.35,26.452,64.516,4.0102
394,611.29,179.35,26.452,64.516,4.159
395,611.29,179.35,26.452,64.516,4.0273
396,611.29,179.35,26.452,64.516,3.9011
397,611.29,179.35,26.452,64.516,3.5952
398,613.63,184.16,24.322,59.321,3.792
399,613.63,188.91,24.322,59.321,4.0585
400,611.29,189.68,26.452,64.516,4.0453
401,613.63,193.66,24.322,59.321,3.9932
402,613.63,198.42,24.322,59.321,3.2559
419,552,198.42,24.322,59.321,3.9531
425,585.48,189.68,26.452,64.516,3.4485
426,594.67,188.91,24.322,59.321,3.4439
428,611.29,184.52,26.452,64.516,3.429
471,603.5,150,41,100,2.8996
473,592.13,122.61,53.647,130.85,2.9553
521,419.5,166,41,100,2.8303
525,428.74,169.9,24.322,59.321,2.9972
526,432.37,173.32,23.24,56.972,0.027592
529,427.26,168,28.991,70.709,3.1775
530,438.67,170.19,27.584,67.671,0.13931
531,440.84,160.56,34.577,84.335,3.2973
532,454.32,167.32,34.577,84.335,3.4042
533,459.5,158,41,100,3.6625
534,467.5,158,41,100,3.5102
535,475.5,158,41,100,3.7419
536,483.5,158,41,100,3.5058
537,499.5,158,41,100,3.6605
538,510.45,160.8,49.058,119.65,3.7168
539,520,160.8,49.058,119.65,3.2133
540,530.71,157.14,58.571,142.86,3.2366
541,553.57,157.14,58.571,142.86,3.5551
542,565.83,143.33,68.333,166.67,3.8444
579,614.16,179.29,28.991,70.709,3.1553
601,523.55,189.68,26.452,64.516,3.1104
603,559.68,194.84,26.452,64.516,3.1051
605,602.53,187.61,34.577,84.335,3.3221
610,602.53,167.32,34.577,84.335,2.8714
659,589.05,160.56,34.577,84.335,2.8843
743,538.08,176.92,31.538,76.923,2.9285
744,550.38,176.92,31.538,76.923,3.0978
745,568.85,176.92,31.538,76.923,2.7778
746,582.32,174.08,34.577,84.335,2.8992
747,502.9,179.35,26.452,64.516,3.3612
748,508.06,179.35,26.452,64.516,3.3394
749,518.39,179.35,26.452,64.516,2.8584
751,600.97,179.35,26.452,64.516,3.5225
752,537.78,179.41,24.322,59.321,3.1868
753,551.86,179.29,28.991,70.709,2.9807
754,562.69,176.92,31.538,76.923,3.423
755,581.15,176.92,31.538,76.923,2.9308
756,587.5,166,41,100,3.2095
757,490.37,169.9,24.322,59.321,2.8922
758,497.74,163.87,26.452,64.516,2.8294
759,504.59,165.15,24.322,59.321,2.851
760,600.97,174.19,26.452,64.516,3.9058
761,611.29,174.19,26.452,64.516,4.3245
762,552,169.9,24.322,59.321,3.0996
764,556.54,158.46,31.538,76.923,3.8272
765,575,164.62,31.538,76.923,3.4935
766,587.5,150,41,100,3.7038
767,595.5,150,41,100,3.5753
768,579.5,150,41,100,3.0715
769,595.5,150,41,100,3.3878
771,546.19,173.65,28.991,70.709,3.0006
779,568.85,173.65,28.991,70.709,2.8551
780,587.31,176.92,31.538,76.923,3.1803
781,602.53,180.85,34.577,84.335,2.8937
849,523.56,184.16,24.322,59.321,2.8149
874,568.85,173.65,28.991,70.709,3.1027
890,447.58,153.8,34.577,84.335,3.0568
891,454.32,153.8,34.577,84.335,3.3739
892,504.59,179.41,24.322,59.321,3.8061
893,514.07,179.41,24.322,59.321,4.2107
894,518.81,179.41,24.322,59.321,4.2409
895,523.55,174.19,26.452,64.516,4.0317
896,533.87,174.19,26.452,64.516,3.9398
897,591.5,162.35,28.991,70.709,3.7428
898,550.38,170.77,31.538,76.923,3.9382
899,562.69,164.62,31.538,76.923,4.5078
900,574.51,168,28.991,70.709,4.2204
901,587.31,164.62,31.538,76.923,4.4893
902,595.79,160.56,34.577,84.335,4.1743
903,562.11,167.32,34.577,84.335,3.4874
904,551.86,156.71,28.991,70.709,3.2314
905,576.43,122.86,58.571,142.86,3.1978
906,596.42,151.2,49.058,119.65,2.7943
907,587.5,150,41,100,3.2242
908,606.44,153.23,37.762,92.102,3.1359
955,575.16,174.19,26.452,64.516,4.2271
956,581.15,176.92,31.538,76.923,3.2698
957,591.5,173.65,28.991,70.709,3.851
958,602.53,167.32,34.577,84.335,3.0526
1021,547.59,197.54,37.762,92.102,2.9378
1023,518.69,174.78,53.647,130.85,3.2708
1024,510.45,189.6,49.058,119.65,3.055
1040,503,124,82,200,3.1768
1041,515.45,141.82,74.545,181.82,2.9333
1045,510,169.23,63.077,153.85,2.7754
1047,512.5,170,68.333,166.67,2.8828
1081,523.1,183.88,21.212,52.016,0.48683
1088,513.23,174.19,26.452,64.516,3.6567
1089,518.39,174.19,26.452,64.516,3.1799
1090,523.55,174.19,26.452,64.516,3.4498
1091,533.87,174.19,26.452,64.516,4.1352
1122,579.5,166,41,100,2.8099
1338,21.154,183.08,31.538,76.923,2.7702
1680,11.5,134,41,100,2.8755
2121,433.48,179.41,24.322,59.321,3.4724
2122,482.26,179.35,26.452,64.516,2.8271
2123,446.13,179.35,26.452,64.516,3.9538
2124,457.19,184.16,24.322,59.321,3.3567
2125,461.61,179.35,26.452,64.516,3.0421
2126,472.57,173.65,28.991,70.709,3.0709
2127,489.56,179.29,28.991,70.709,3.6808
2128,501.15,176.92,31.538,76.923,3.7961
2129,521.68,174.08,34.577,84.335,4.0978
2130,539.5,166,41,100,4.4402
2131,563.5,174,41,100,5.013
2132,591.23,172.36,44.846,109.38,4.4251
2178,314.96,160.4,24.322,59.321,2.794
2181,205.3,166.52,21.692,53.269,0.066156
2245,533.04,174.65,24.322,59.321,3.2023
